textDisplay,authorDisplayName,likeCount,publishedAt,clean_text,sentiment_gold,sentiment_active,confidence
Kerennnn semoga semakin banyaj acara seperti ini  buat buktiin kalau kualitas sdm kita indonesia itu gak melulu yg sekedar viral menye-menye aja,@nurulkhikmah9036,1,2024-07-09 16:55:38,kerenn semoga semakin banyaj acara seperti ini buat buktiin kalau kualitas sdm kita indonesia itu tidak melulu yang sekedar viral menye menye saja,positive,positive,1.0
"G kenal sama skali sama mereka, taoi ikut bangga ama prestasi² mereka. keren bgt, smpe terharu.",@CindyRisn,0,2024-07-03 10:59:24,g kenal sama skali sama mereka taoi ikut bangga ama prestasi² mereka keren bgt smpe terharu,positive,positive,1.0
"siapa yg tau soal kuis pertama,ga keliatan semua nya soalnya😢",@ayalestarii,0,2024-07-01 06:30:38,siapa yang tau soal kuis pertama ga keliatan semua nya soalnya,neutral,neutral,1.0
siapa disini yang nonton nahan nangis terharu karena bangga banget lihat orang orang pinter kek mereka? kek ikut merayakan keberhasilan mereka sbagai pelajar indonesia😢❤,@divarahmadiana,76,2024-06-30 03:49:06,siapa disini yang nonton nahan nangis terharu karena bangga banget lihat orang orang pinter kek mereka kek ikut merayakan keberhasilan mereka sbagai pelajar indonesia,positive,positive,1.0
Emak2 yg otaknya kosong tapi suka banget ngeliat orang2 cerdas apalagi ada kompetisi kyk gini .mari kumpul 🔥,@lanijiwook7765,0,2024-07-01 06:08:50,emak yang otaknya kosong tapi suka banget ngeliat orang cerdas apalagi ada kompetisi seperti gini mari kumpul,negative,negative,1.0
trendingkan guys,@ilhamalbantanie,0,2024-06-30 08:22:25,trendingkan guys,neutral,neutral,1.0
Harus dibanyakin acara positif begini,@neina_mutiar,0,2024-07-13 05:39:21,harus dibanyakin acara positif begini,positive,positive,1.0
"Pick aku Maxwell !!<br>SBY Pride!! medoknyaa luar byasaaaa... gaass, karakternya lucu.",@daniramadhani7290,0,2024-07-01 09:46:50,pick aku maxwell sby pride medoknyaa luar byasaa gaass karakternya lucu,positive,positive,1.0
Ghaza anaknya AA gym bukan sih? Masyaallah pinter2 bgt ya anak muda skrg,@bonorbonsai9500,0,2024-07-13 03:28:36,ghaza anaknya aa gym bukan sih masyaallah pinter banget ya anak muda sekarang,positive,positive,1.0
"Nggak sabar mau nontonin  episode selanjutnya🎉🎉🎉 pecah  parah acaranya, ngerasa keren nontonin orang keren😂",@sulissyuda194,0,2024-06-29 16:41:35,tidak sabar mau nontonin episode selanjutnya pecah parah acaranya ngerasa keren nontonin orang keren,positive,positive,1.0
Sandy ganteng bgt plis,@arfakhawarizmi7913,0,2024-08-27 14:21:33,sandy ganteng banget plis,positive,positive,1.0
INI BARU TONTONAN FILM YANG BERMUTU JIRRRR,@andikachun5635,0,2024-07-03 11:09:17,ini baru tontonan film yang bermutu jirr,negative,negative,1.0
congrats,@layliathaila1817,0,2024-07-01 07:52:12,congrats,positive,positive,1.0
"Kesini karna liat fiti di toktok😁, seru bangett",@NurainiHasibuan-re2dz,0,2024-07-13 13:09:35,kesini karena liat fiti di toktok seru bangett,positive,positive,1.0
"Wadaw, hebat-hebat banget, keren!",@nadzarridho,0,2024-07-02 10:51:22,wadaw hebat hebat banget keren,positive,positive,1.0
acara bergengsi indonesia dan mendidik... banyak2 acara seperti ini berkualitas dan berbobot. bangga liat nya. merinding liat anak anak berbakat ini. succes dan sehat selalu,@rajokighiievari8948,1,2024-07-13 09:46:51,acara bergengsi indonesia dan mendidik banyak acara seperti ini berkualitas dan berbobot bangga liat nya merinding liat anak anak berbakat ini succes dan sehat selalu,positive,positive,1.0
Kereeennn sayang banget rea sama nana,@zhaskiashavana88,0,2024-06-29 17:32:04,kereenn sayang banget rea sama nana,positive,positive,1.0
Setelah melihat ini gw jadi suka sama matematika🤭,@rmuhdani9197,1,2024-07-11 12:24:58,setelah melihat ini gw jadi suka sama matematika,positive,positive,1.0
"Aku yg cuman ngelihatin soalnya, mikirin caranya, ikut hitung, habis itu skip-skip sampe babak berikutnya 😂😂😂",@anizzsuranizz3290,0,2024-06-30 02:34:15,aku yang cuman ngelihatin soalnya mikirin caranya ikut hitung habis itu skip skip sampe babak berikutnya,neutral,neutral,1.0
"Problematika anak sekarang dg kecanggihan teknologi, jadi bingung kalo harus hitung manual. Kalo saya malah bingung kalo hitung pake kalkulator, bolak balik dicek lagi. Lebih sreg kalo hitung manual",@nanichristantina2370,0,2024-07-17 13:09:15,problematika anak sekarang dg kecanggihan teknologi jadi bingung kalau harus hitung manual kalau saya malah bingung kalau hitung pake kalkulator bolak balik dicek lagi lebih sreg kalau hitung manual,negative,negative,1.0
"min saran dong, nanti soalnya bisa dipublish jadi awam bisa belajar jugaaa",@clarakay-s8o,0,2024-06-29 16:52:30,min saran dong nanti soalnya bisa dipublish jadi awam bisa belajar jugaa,positive,positive,1.0
GOOD JOB ALL❤,@fiyanii_chanel_5366,0,2024-07-08 14:47:28,good job all,positive,positive,1.0
"PLEASEE INI SERU BANGET,...❤",@dramachannel2955,0,2024-06-30 14:18:10,pleasee ini seru banget,positive,positive,1.0
YASSHHHHHHHHHHH,@zanariafowl,0,2024-06-29 11:32:02,yasshh,positive,positive,1.0
"&quot;BALIK YUK&quot;😭😭😭 ngakakkk, ada ada aja mas nya",@ddeyycc,0,2024-07-01 05:16:17,quot balik yuk quot ngakakk ada ada saja mas nya,negative,negative,1.0
SERU BANGETTTTTTTTT PLS CEPATTTT EPISODE 2 😭😭😭😭😭😭🫵🏼🫵🏼🫵🏼🫵🏼,@fadiaaa777,0,2024-06-30 03:07:58,seru bangett pls cepatt episode,positive,positive,1.0
keren bgt fiks viralin!!!!,@BalkisSalsabila,0,2024-06-29 13:09:07,keren banget fiks viralin,positive,positive,1.0
Allahumma sholli alaa sayyidina Muhammad. keren² sekali kakakk kakak iniii. proud banget yang fail tetep PD 💗🔥,@yunn-yunni4328,0,2024-06-30 23:25:29,allahumma sholli alaa sayyidina muhammad keren² sekali kakakk kakak inii proud banget yang fail tetep pada,positive,positive,1.0
Seru bgt ??? <br>Kalian keren bgt woy!! Otak dan mental beneran diuji :&quot;),@jjhxdj88,0,2024-07-02 05:32:10,seru banget kalian keren banget woy otak dan mental beneran diuji quot,positive,positive,1.0
"Bbyakin kek gnii mau editan apa kek,tp ttep mereka pinter gtu loh",@watamondol7927,0,2024-06-30 05:52:30,bbyakin kek gnii mau editan apa kek tp ttep mereka pinter gtu loh,positive,positive,1.0
XD Lycaa Lucu bener tkt di hujat netizen,@rizkynurnorman9600,0,2024-06-29 18:08:25,xd lycaa lucu bener tkt di hujat netizen,negative,negative,1.0
Gw nangisin diri sendiri nonton ini,@hafidh4549,1,2024-07-01 20:33:58,gw nangisin diri sendiri nonton ini,positive,positive,1.0
