textDisplay,authorDisplayName,likeCount,publishedAt,clean_text,sentiment_gold
Kerennnn semoga semakin banyaj acara seperti ini  buat buktiin kalau kualitas sdm kita indonesia itu gak melulu yg sekedar viral menye-menye aja,@nurulkhikmah9036,1,2024-07-09 16:55:38,kerenn semoga semakin banyaj acara seperti ini buat buktiin kalau kualitas sdm kita indonesia itu tidak melulu yang sekedar viral menye menye saja,positive
"G kenal sama skali sama mereka, taoi ikut bangga ama prestasi² mereka. keren bgt, smpe terharu.",@CindyRisn,0,2024-07-03 10:59:24,g kenal sama skali sama mereka taoi ikut bangga ama prestasi² mereka keren bgt smpe terharu,positive
"siapa yg tau soal kuis pertama,ga keliatan semua nya soalnya😢",@ayalestarii,0,2024-07-01 06:30:38,siapa yang tau soal kuis pertama ga keliatan semua nya soalnya,neutral
siapa disini yang nonton nahan nangis terharu karena bangga banget lihat orang orang pinter kek mereka? kek ikut merayakan keberhasilan mereka sbagai pelajar indonesia😢❤,@divarahmadiana,76,2024-06-30 03:49:06,siapa disini yang nonton nahan nangis terharu karena bangga banget lihat orang orang pinter kek mereka kek ikut merayakan keberhasilan mereka sbagai pelajar indonesia,positive
Emak2 yg otaknya kosong tapi suka banget ngeliat orang2 cerdas apalagi ada kompetisi kyk gini .mari kumpul 🔥,@lanijiwook7765,0,2024-07-01 06:08:50,emak yang otaknya kosong tapi suka banget ngeliat orang cerdas apalagi ada kompetisi seperti gini mari kumpul,negative
trendingkan guys,@ilhamalbantanie,0,2024-06-30 08:22:25,trendingkan guys,neutral
Harus dibanyakin acara positif begini,@neina_mutiar,0,2024-07-13 05:39:21,harus dibanyakin acara positif begini,positive
"Pick aku Maxwell !!<br>SBY Pride!! medoknyaa luar byasaaaa... gaass, karakternya lucu.",@daniramadhani7290,0,2024-07-01 09:46:50,pick aku maxwell sby pride medoknyaa luar byasaa gaass karakternya lucu,positive
Ghaza anaknya AA gym bukan sih? Masyaallah pinter2 bgt ya anak muda skrg,@bonorbonsai9500,0,2024-07-13 03:28:36,ghaza anaknya aa gym bukan sih masyaallah pinter banget ya anak muda sekarang,positive
"Nggak sabar mau nontonin  episode selanjutnya🎉🎉🎉 pecah  parah acaranya, ngerasa keren nontonin orang keren😂",@sulissyuda194,0,2024-06-29 16:41:35,tidak sabar mau nontonin episode selanjutnya pecah parah acaranya ngerasa keren nontonin orang keren,positive
Sandy ganteng bgt plis,@arfakhawarizmi7913,0,2024-08-27 14:21:33,sandy ganteng banget plis,positive
INI BARU TONTONAN FILM YANG BERMUTU JIRRRR,@andikachun5635,0,2024-07-03 11:09:17,ini baru tontonan film yang bermutu jirr,negative
congrats,@layliathaila1817,0,2024-07-01 07:52:12,congrats,positive
